BUBH_24h_AcLDL	16437_5#2;16493_2#2;16493_3#2
BUBH_24h_Ctrl	16437_5#1;16493_2#1;16493_3#1
CUPS_24h_AcLDL	16437_5#4;16493_2#4;16493_3#4
CUPS_24h_Ctrl	16493_3#3;16437_5#3;16493_2#3
OUGL_24h_AcLDL	16437_5#6;16493_2#6;16493_3#6
OUGL_24h_Ctrl	16437_5#5;16493_2#5;16493_3#5
EIKA_24h_AcLDL	16437_5#18;16493_2#18;16493_3#18
EIKA_24h_Ctrl	16437_5#17;16493_2#17;16493_3#17
IICQ_24h_AcLDL	16437_5#8;16493_2#8;16493_3#8
IICQ_24h_Ctrl	16437_5#7;16493_2#7;16493_3#7
NIBO_24h_AcLDL	16437_5#10;16493_2#10;16493_3#10
NIBO_24h_Ctrl	16437_5#9;16493_2#9;16493_3#9
NUSW_24h_AcLDL	16437_5#16;16493_2#16;16493_3#16
NUSW_24h_Ctrl	16437_5#15;16493_2#15;16493_3#15
PIUN_24h_AcLDL	16437_5#12;16493_2#12;16493_3#12
PIUN_24h_Ctrl	16437_5#11;16493_2#11;16493_3#11
UIMO_24h_AcLDL	16437_5#14;16493_2#14;16493_3#14
UIMO_24h_Ctrl	16437_5#13;16493_2#13;16493_3#13
UAHF_24h_Ctrl	16823_1#1;16834_1#1;16834_2#1
UAHF_24h_AcLDL	16823_1#2;16834_1#2;16834_2#2
IEKI_24h_Ctrl	16823_1#3;16834_1#3;16834_2#3
IEKI_24h_AcLDL	16823_1#4;16834_1#4;16834_2#4
CICB_24h_Ctrl	16823_1#5;16834_1#5;16834_2#5
CICB_24h_AcLDL	16823_1#6;16834_1#6;16834_2#6
OEFG_24h_Ctrl	16823_1#7;16834_1#7;16834_2#7
OEFG_24h_AcLDL	16823_1#8;16834_1#8;16834_2#8
RUYV_24h_Ctrl	16823_1#9;16834_1#9;16834_2#9
RUYV_24h_AcLDL	16823_1#10;16834_1#10;16834_2#10
VASS_24h_Ctrl	16823_1#11;16834_1#11;16834_2#11
VASS_24h_AcLDL	16823_1#12;16834_1#12;16834_2#12
YEMZ_24h_Ctrl	16823_1#13;16834_1#13;16834_2#13
YEMZ_24h_AcLDL	16823_1#14;16834_1#14;16834_2#14
EOJR_24h_Ctrl	16823_1#15;16834_1#15;16834_2#15
EOJR_24h_AcLDL	16823_1#16;16834_1#16;16834_2#16
IISA_24h_Ctrl	16823_1#17;16834_1#17;16834_2#17
IISA_24h_AcLDL	16823_1#18;16834_1#18;16834_2#18
JOXM_24h_Ctrl	16823_2#1;16834_3#1
JOXM_24h_AcLDL	16823_2#2;16834_3#2
PAHC_24h_Ctrl	16823_2#3;16834_3#3
PAHC_24h_AcLDL	16823_2#4;16834_3#4
SUKZ_24h_Ctrl	16823_2#5;16834_3#5
SUKZ_24h_AcLDL	16823_2#6;16834_3#6
VEQZ_24h_Ctrl	16823_2#7;16834_3#7
VEQZ_24h_AcLDL	16823_2#8;16834_3#8
XUCM_24h_Ctrl	16823_2#9;16834_3#9
XUCM_24h_AcLDL	16823_2#10;16834_3#10
MIJN_24h_Ctrl	16823_2#11;16834_3#11
MIJN_24h_AcLDL	16823_2#12;16834_3#12
